ID,Severity,Category,Physical Phenomenon,Mathematical Issue,Code Location,Observed Behavior,Expected Behavior,Evidence,Equation / Reference,Scientific Consequence,Numerical Consequence,Reproducibility Consequence,Recommended Investigation,Verification Test,Status
SCI-FLAW-01,CRITICAL,Physical / Fractional Flow,Buckley-Leverett / Koval Solvent Fractional Flow,"Inverted mobility ratio dependency: effective viscosity ratio divided by M, and (M-1)*0.5 in denominator",core/engine_surrogate/profile_generator_fast.py:944-950,"Favorable piston displacement (M=1.0) yields 70% gas breakthrough, while severe fingering (M=10.0) yields only 10% gas.",Higher mobility ratio causes earlier breakthrough and higher gas fractional flow (F_CO2 -> 1.0).,frac_flow_co2 = koval_factor / (koval_factor + (mobility_ratio - 1) * 0.5) with koval_factor = E / M.,"Koval, E.J. (1963). SPE Journal, 3(2), 145-152; Buckley & Leverett (1942).","Inverts gas breakthrough physics, misdirects WAG ratio optimization, and distorts carbon recycling.",Artificial plateau in GOR; GA/BO selection pressure inverted for heavy vs light oils.,Optimization trajectories diverge completely from physical reality.,"Replace with authentic Koval fractional flow: K = H_k * E, F_s = K*S / (1 + S*(K - 1)).",tests/scientific/co2/test_co2_breakthrough_physics.py::test_koval_fractional_flow_mobility_inversion,CONFIRMED_AUDIT_OPEN
SCI-FLAW-02,CRITICAL,Physical / Thermodynamics,Isothermal Fluid Compressibility,Positive pressure coefficient: dBo/dP > 0 above bubble point,"core/data_integration_engine.py:370, 456",Bo(P) = 1.2 + 0.0001 * (P - 4000). Oil expands as reservoir pressure increases.,"Thermodynamics requires c_o = -(1/Bo)(dBo/dP) > 0, so dBo/dP must be negative above bubble point.",Direct linear expression in data_integration_engine.py:370.,"McCain, W.D. (1990). The Properties of Petroleum Fluids.",Violates Second Law of Thermodynamics (negative compressibility).,"Voidage increases with pressure, causing artificial pressure runaways in material balance.",PVT tables cannot be matched to experimental PVT laboratory reports.,Invert sign: Bo(P) = Bo_b * exp(-co * (P - Pb)).,tests/scientific/physics/test_thermodynamic_consistency.py::test_oil_compressibility_positivity,CONFIRMED_AUDIT_OPEN
SCI-FLAW-03,HIGH,Physical / Fluid Dynamics,Viscosity-Pressure Dependence,Negative exponential argument: exp(-0.0003 * (P - 4000)),"core/data_integration_engine.py:372, 375, 459, 465",Oil and supercritical CO2 viscosities decrease exponentially with pressure.,Undersaturated liquid and supercritical fluid viscosities increase with pressure (dmu/dP > 0).,"Exponential formulas in data_integration_engine.py:372, 375.","Pedersen, K.S. et al. (2014). Phase Behavior of Petroleum Reservoir Fluids.","Over-pressuring reservoir creates artificial, unphysical mobility improvements.",Economic objective functions incentivize operating at near-fracture pressures.,Simulations under-predict viscous resistance at deep reservoir pressures.,Correct exponent sign to positive: mu(P) = mu_ref * (1 + c_mu * (P - Pref)).,tests/scientific/physics/test_thermodynamic_consistency.py::test_liquid_viscosity_pressure_derivative,CONFIRMED_AUDIT_OPEN
SCI-FLAW-04,HIGH,Physical / Thermodynamics,Isobaric Thermal Expansion,Positive temperature coefficient: + 2.3e-3 * temp_c,core/unified_engine/physics/co2_properties.py:140,"CO2 density increases with temperature (drho/dT > 0), predicting density > 1,230 kg/m3.",Fluids expand when heated at constant pressure (drho/dT < 0).,rho = 1.01 + 1.09e-2*p_mpa - 1.25e-5*p_mpa**2 + 2.3e-3*temp_c.,"Span & Wagner (1996). J. Phys. Chem. Ref. Data, 25(6).","CO2 predicted to be denser than liquid brine, inverting buoyancy and gravity segregation.",Gravity override and vertical sweep models predict downward rather than upward migration.,Contradicts Span-Wagner and NIST REFPROP standards.,Replace with Span-Wagner 1996 formulation or Peng-Robinson EOS density.,tests/scientific/physics/test_thermodynamic_consistency.py::test_co2_density_thermal_expansion,CONFIRMED_AUDIT_OPEN
SCI-FLAW-05,CRITICAL,Mathematical / Inflow Performance,Darcy Inflow & Well Interference,Unbounded well drainage acreage scaling,"core/optimisation_engine.py:1410, profile_generator_fast.py:501",Single producer model drains arbitrary reservoir acreage at flat rates without interference.,"Deliverability must be bounded by drainage radius, kh, skin, and inter-well pressure drawdown.",Rate profiles scaled linearly with field target without nodal boundary validation.,"Vogel, J.V. (1968). J. Pet. Technol., 20(1), 83-92.",Under-predicts well count requirements by 3x to 5x.,Optimizer exploits single well configurations to achieve unphysical high NPV.,CAPEX optimization disconnected from actual field development plans.,Coupled Peaceman well index with drainage radius interference limits.,tests/scientific/boundary_conditions/test_wellbore_drawdown_limits.py::test_producer_rate_drawdown_limit,CONFIRMED_AUDIT_OPEN
SCI-FLAW-06,CRITICAL,Numerical / Thermodynamics,Thermodynamic State Decoupling,Surrogate recovery evaluated at mean/initial pressure while tank ODE runs dynamically,"core/optimisation_engine.py:3215, surrogate_engine.py:407-420",Profiles generated before pressure profile calculation; oil profile scaled post-hoc.,"Dynamic pressure, GOR, and water cut must be integrated simultaneously in time.",profile_result['oil_profile'] = oil_profile * (target_cum_oil / max_cum_shape) applied after generation.,Aziz & Settari (1979). Petroleum Reservoir Simulation.,Violates deliverability cap enforced in profile generator; breaks instantaneous GOR and WOR consistency.,Discontinuous feedback between optimizer evaluations and dynamic profiles.,Different time resolutions produce inconsistent cumulative productions.,Fully couple timestep rate synthesis with pressure increment.,tests/scientific/convergence/test_temporal_convergence.py::test_temporal_refinement_convergence,CONFIRMED_AUDIT_OPEN
SCI-FLAW-07,HIGH,Dimensional / Accounting,CO2 Utilization Factor,Dimensional unit mismatch: metric tonnes/STB vs MSCF/STB,core/objectives/wrapper.py:212 vs surrogate_engine.py:454,wrapper.py reports metric tonnes CO2 / STB; surrogate_engine reports MSCF/STB. Both named 'co2_utilization'.,Standard industry benchmark is MSCF/STB (typical 5 to 12 gross). Metric tonnes/STB is ~18x smaller.,wrapper.py line 212: total_co2_purchased_tonne / total_oil.,DOE NETL (2010). Carbon Dioxide Enhanced Oil Recovery Primer.,Reported utilization (0.665) appears 10x to 15x deflated compared to DOE/SPE literature.,Optimization objective weights for utilization are scaled improperly relative to NPV.,Results cannot be directly compared against SPE or CMG benchmarks.,Standardize variable name to co2_utilization_mscf_per_stb and provide explicit units in outputs.,tests/scientific/dimensional/test_unit_consistency.py::test_co2_mass_conversion_factor,CONFIRMED_AUDIT_OPEN
SCI-FLAW-08,CRITICAL,Physical / Phase Equilibrium,Cubic EOS Phase Identification,Inverted Z-factor threshold logic,core/unified_engine/physics/eos/__init__.py:195,'phase': 'V' if Z < 0.8 else 'L'.,"In thermodynamics, liquid phase has lower compressibility factor Z (Z < 0.3); vapor has Z near unity.",Direct ternary string assignment in get_properties_si.,"Peng, D.Y. & Robinson, D.B. (1976). Ind. Eng. Chem. Fundam., 15(1), 59-64.",Dense supercritical and liquid phases are systematically labeled as Vapor.,Downstream viscosity and density correlations that branch on phase ('V' vs 'L') use wrong formulas.,Phase identification contradicts standard PVT flash software.,"Determine phase from Gibbs free energy minimization or root ordering (Z_L = smallest root, Z_V = largest root).",tests/scientific/physics/test_phase_equilibrium.py::test_phase_label_assignment,CONFIRMED_AUDIT_OPEN
SCI-FLAW-09,HIGH,Physical / Phase Equilibrium,Interfacial Tension at Miscibility,Non-zero IFT at MMP: sigma(P) = sigma_0 * exp(-lambda*(P-MMP)) for P >= MMP,core/simulation/recovery_models.py:197-202,"At P = MMP, IFT equals 20 mN/m (maximum immiscible value), and decays slowly above MMP.","By thermodynamic definition of MMP, interfacial tension vanishes at MMP: sigma(MMP) -> 0.",sigma = sigma_0 * np.exp(-lambda_ift * delta_p) with sigma_0 = 20 mN/m.,"Rao, D.N. & Lee, J.I. (2002). SPE Res. Eval. & Eng., 5(3).",Fluids remain capillary-trapped even thousands of psi above MMP.,Capillary desaturation model under-predicts recovery in miscible regimes.,Contradicts vanishing interfacial tension (VIT) experimental measurements.,"sigma(P) must approach 0 as P -> MMP from below, and be identically 0 for P >= MMP.",tests/scientific/physics/test_thermodynamic_consistency.py,CONFIRMED_AUDIT_OPEN
SCI-FLAW-10,HIGH,Physical / Displacement,Immiscible Gas Displacement,Displacement efficiency models only residual oil reduction (Sor_base - Sor*) / (1 - Swi),core/simulation/recovery_models.py:498-501,Immiscible displacement efficiency is 0.01-0.03 (predicting ~1% total recovery).,"Immiscible gas flooding displaces mobile oil via Buckley-Leverett viscous drive, yielding 20-40% RF.",displacement_eff = (sor_base - sor_star) / denominator.,"Buckley & Leverett (1942). Trans. AIME, 146.",Immiscible CO2 flooding falsely appears completely non-viable economically.,"Forces optimizer to strictly operate above MMP, ignoring optimal economic immiscible floods.",Severe divergence from field historical immiscible CO2 floods.,Incorporate mobile oil displacement via Buckley-Leverett fractional flow.,tests/scientific/reference_solutions/test_buckley_leverett_analytical.py,CONFIRMED_AUDIT_OPEN
