file,line,trigger,behavior,category,severity,impact
analysis/breakthrough_physics.py,248,Numerical bounds exceeded on vdp,"Clamped to [0.0, 0.95]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable vdp into artificial range
analysis/breakthrough_physics.py,262,"Numerical bounds exceeded on _to_float(reservoir_params.get('porosity', 0.15))","Clamped to [0.01, 0.4]",LEGITIMATE NUMERICAL SAFETY,LOW,"Forces physical variable _to_float(reservoir_params.get('porosity', 0.15)) into artificial range"
analysis/breakthrough_physics.py,392,Missing key 'injection_gor',Substituted default 10000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'injection_gor'=10000.0
analysis/breakthrough_physics.py,146,Missing key 'pressure',Substituted default 2000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'pressure'=2000.0
analysis/breakthrough_physics.py,147,Missing key 'temperature',Substituted default 150.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'temperature'=150.0
analysis/breakthrough_physics.py,154,"Exception caught: (ImportError, TypeError, ValueError, RuntimeError)",Assigns fallback: eos_model = None,IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/breakthrough_physics.py,222,Numerical bounds exceeded on breakthrough_time,"Clamped to [self.params.min_bt_time_clip, self.params.max_bt_time_clip]",LEGITIMATE NUMERICAL SAFETY,LOW,Forces physical variable breakthrough_time into artificial range
analysis/breakthrough_physics.py,267,Missing key 'injection_rate',Substituted default 5000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'injection_rate'=5000.0
analysis/breakthrough_physics.py,291,Missing key 'permeability',Substituted default 100.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'permeability'=100.0
analysis/breakthrough_physics.py,292,Missing key 'porosity',Substituted default 0.15,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'porosity'=0.15
analysis/breakthrough_physics.py,298,Missing key 'injection_rate',Substituted default 5000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'injection_rate'=5000.0
analysis/breakthrough_physics.py,342,Missing key 'permeability',Substituted default 100.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'permeability'=100.0
analysis/breakthrough_physics.py,347,Missing key 'injection_rate',Substituted default 5000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'injection_rate'=5000.0
analysis/breakthrough_physics.py,262,Missing key 'porosity',Substituted default 0.15,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'porosity'=0.15
analysis/data_validation.py,357,Missing key 'initial_pressure',Substituted default 0.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'initial_pressure'=0.0
analysis/data_validation.py,358,Missing key 'max_pressure_psi',Substituted default 10000.0,LEGITIMATE ENGINEERING DEFAULT,MEDIUM,Provides implicit physical parameter 'max_pressure_psi'=10000.0
analysis/decline_curve_analysis.py,118,"Exception caught: (RuntimeError, ValueError, TypeError)","Returns fallback value: (qi, di, 0.0)",IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/decline_curve_analysis.py,144,"Exception caught: (RuntimeError, ValueError, TypeError)","Returns fallback value: self.fit_exponential(time, rate)",IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/decline_curve_analysis.py,315,"Exception caught: (RuntimeError, ValueError, TypeError, FloatingPointError)",Returns fallback value: 'exponential',IMPLEMENTATION FALLBACK,MEDIUM,UI/app resilience
analysis/decline_curve_analysis.py,361,Missing key 'production_rate',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'production_rate'=np.array([])
analysis/decline_curve_analysis.py,363,Missing key 'forecast_rate',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'forecast_rate'=np.array([])
analysis/injection_scheme_validator.py,59,Missing key 'daily_co2_injected_mscf',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'daily_co2_injected_mscf'=np.array([])
analysis/injection_scheme_validator.py,60,Missing key 'daily_water_injected_bbl',Substituted default np.array([]),IMPLEMENTATION FALLBACK,MEDIUM,Provides implicit physical parameter 'daily_water_injected_bbl'=np.array([])
