id,location,issue,evidence,consequence,severity,remediation
SUSP-01,core/engine_surrogate/analytical_models.py:720,Miscibility Step / Kink in PhD Hybrid Model,"omega = 1.0 - np.exp(-(P - MMP) / MMP) for P >= MMP, else 0.0",Creates non-differentiable cliff at MMP; gradient-based algorithms stall,HIGH,Replace piecewise cliff with smooth tanh transition tanh((P-MMP)/(0.15*MMP))
SUSP-02,core/engine_surrogate/profile_generator_fast.py:315,Discrete Heuristic Step Multipliers for WAG Cycles,Direct multiplication of production rates by 1.08 and 0.96,Sawtooth rate discontinuities; mass balance distortion,HIGH,Replace with phase mobility contrast Delta lambda / Sigma lambda and re-normalize profiles
SUSP-03,ui/sensitivity_widget.py:450-525,Missing imports causing runtime NameError crashes,"F821 errors for pd, np, go, make_subplots in sensitivity_widget.py",Sensitivity analysis tab crashes immediately upon result generation,HIGH,"Import pandas as pd, numpy as np, plotly.graph_objects as go, plotly.subplots.make_subplots"
SUSP-04,ui/main_window.py:1528-1551,Undefined 'charts' dictionary in _generate_report_data,F821: Undefined name 'charts',Automated report generation fails with NameError when creating PDF/HTML report,HIGH,Initialize charts = {} before assigning chart entries
SUSP-05,tests/validation/spe5_benchmark_validation.py:249,Syntax error in benchmark validation test,Missing comma on parameter line 249,Benchmark suite cannot be imported or parsed by linters/vulture,MEDIUM,"Add comma after simulation_years: float = 8.0,"
SUSP-06,core/data_integration_engine.py:431,Negative isothermal oil compressibility in synthetic PVT generator,oil_fvf = 1.2 + 0.0001 * (pressure_points - 4000),Oil expands with pressure; violates Second Law of Thermodynamics,CRITICAL,Invert sign: Bo(P) = Bo_b * exp(-co * (P - Pb))
SUSP-07,"core/data_integration_engine.py:434, 440",Negative exponential viscosity-pressure dependence,viscosity = visc * exp(-0.0003 * (P - 4000)),Supercritical fluids thin as pressure increases; unphysical mobility boost,HIGH,Use positive pressure slope: mu(P) = mu_ref * (1 + c_mu * (P - Pref))
SUSP-08,core/unified_engine/physics/co2_properties.py:140,Positive temperature coefficient in CO2 density,rho = 1.01 + 1.09e-2*p_mpa - 1.25e-5*p_mpa**2 + 2.3e-3*temp_c,Dense CO2 expands when cooled; inverts buoyancy and gravity segregation,HIGH,Replace with Span-Wagner 1996 or Peng-Robinson EOS formulation
SUSP-09,core/unified_engine/physics/eos/__init__.py:195,Inverted cubic EOS phase identification,'phase': 'V' if Z < 0.8 else 'L',Dense liquid-like supercritical fluid is systematically labeled as Vapor,CRITICAL,"Assign phase by Gibbs free energy minimization or root ordering (Z_L = min, Z_V = max)"
SUSP-10,core/optimisation_engine.py:235-244,Keyword argument mismatch triggering silent fallback to wrong Bg constant,"calculate_co2_fvf_rb_per_mscf(p_psia=...) raises TypeError, sets b_gas = 5.0",Gas conversion off by 10x (5.0 vs 0.5 RB/MSCF),CRITICAL,Pass pressure_psi as positional argument to calculate_co2_fvf_rb_per_mscf
