Module,Line,Literal,Code Snippet
analysis/breakthrough_physics.py,21,981.0,GRAVITY_ACCEL_CM_S2 = 981.0
analysis/breakthrough_physics.py,22,9.869233e-16,PERM_MD_TO_M2 = _PERM_CONSTANTS.MD_TO_M2  # 9.869233e-16 mD to m^2
analysis/breakthrough_physics.py,23,9.869233e-13,PERM_MD_TO_CM2 = _PERM_CONSTANTS.MD_TO_CM2  # 9.869233e-13 mD to cm^2
analysis/breakthrough_physics.py,24,0.01,VISC_CP_TO_POISE = 0.01
analysis/breakthrough_physics.py,25,0.001,VISC_CP_TO_PA_S = _PERM_CONSTANTS.VISC_CP_TO_PA_S  # 0.001 cP to Pa·s
analysis/breakthrough_physics.py,26,32.174,GRAVITY_FT_S2 = _PERM_CONSTANTS.GRAVITY_FT_S2  # 32.174 ft/s^2
analysis/breakthrough_physics.py,27,86400.0,SECONDS_PER_DAY = _PERM_CONSTANTS.SECONDS_PER_DAY  # 86400.0
analysis/breakthrough_physics.py,36,300.0,"default=300.0,"
analysis/breakthrough_physics.py,40,0.95,"default=0.95,"
analysis/breakthrough_physics.py,44,0.1,"default=0.1,"
analysis/breakthrough_physics.py,50,0.9,"default=0.9,"
analysis/breakthrough_physics.py,54,0.95,"default=0.95,"
analysis/breakthrough_physics.py,58,15.0,"default=15.0,"
analysis/breakthrough_physics.py,64,0.08,"default=0.08,"
analysis/breakthrough_physics.py,70,0.15,"default=0.15,"
analysis/breakthrough_physics.py,74,0.35,"default=0.35,"
analysis/breakthrough_physics.py,78,15.0,"default=15.0,"
analysis/breakthrough_physics.py,82,5.0,"default=5.0,"
analysis/breakthrough_physics.py,90,2.5,"default=2.5,"
analysis/breakthrough_physics.py,96,3.0,"default=3.0,"
analysis/breakthrough_physics.py,104,25.0,"default=25.0,"
analysis/breakthrough_physics.py,109,50.0,if not (50.0 <= self.breakthrough_gor_threshold <= 5000.0):
analysis/breakthrough_physics.py,109,5000.0,if not (50.0 <= self.breakthrough_gor_threshold <= 5000.0):
analysis/breakthrough_physics.py,111,0.7,if not (0.7 <= self.breakthrough_water_cut_threshold <= 1.0):
analysis/breakthrough_physics.py,112,0.7,"raise ValueError(""Breakthrough water cut threshold must be between 0.7 and 1.0"")"
analysis/breakthrough_physics.py,153,2000.0,"pressure = _to_float(reservoir_params.get(""pressure"", 2000.0))"
analysis/breakthrough_physics.py,154,150.0,"temp_f = _to_float(reservoir_params.get(""temperature"", 150.0))"
analysis/breakthrough_physics.py,172,273.15,temp_k = (temp_f - 32) * 5 / 9 + 273.15
analysis/breakthrough_physics.py,173,6894.76,pres_pa = pressure * 6894.76
analysis/breakthrough_physics.py,177,44.0,"rho_co2 = props.get(""vapor_properties"", {}).get(""density"", 44.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,177,16.0185,"rho_co2 = props.get(""vapor_properties"", {}).get(""density"", 44.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,177,16.0185,"rho_co2 = props.get(""vapor_properties"", {}).get(""density"", 44.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,178,50.0,"rho_oil = props.get(""liquid_properties"", {}).get(""density"", 50.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,178,16.0185,"rho_oil = props.get(""liquid_properties"", {}).get(""density"", 50.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,178,16.0185,"rho_oil = props.get(""liquid_properties"", {}).get(""density"", 50.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,181,0.08,"mu_co2 = props.get(""vapor_properties"", {}).get(""viscosity"", 0.08 / 1000.0) * 1000.0"
analysis/breakthrough_physics.py,181,1000.0,"mu_co2 = props.get(""vapor_properties"", {}).get(""viscosity"", 0.08 / 1000.0) * 1000.0"
analysis/breakthrough_physics.py,181,1000.0,"mu_co2 = props.get(""vapor_properties"", {}).get(""viscosity"", 0.08 / 1000.0) * 1000.0"
analysis/breakthrough_physics.py,182,1000.0,"mu_oil = props.get(""liquid_properties"", {}).get(""viscosity"", 2.0 / 1000.0) * 1000.0"
analysis/breakthrough_physics.py,182,1000.0,"mu_oil = props.get(""liquid_properties"", {}).get(""viscosity"", 2.0 / 1000.0) * 1000.0"
analysis/breakthrough_physics.py,188,0.00503,"bg = 0.00503 * 0.85 * (temp_f + 460.0) / max(pressure, 14.7)"
